Imp,On,TrackName,Name,TrackRefs,TrackRefsLatex,Notes,length,ra_o,dec_o,distance_o,ra_f,dec_f,distance_f,ra_mid,dec_mid,distance_mid,ra_pole,dec_pole,InfoFlags,has_empirical_track,has_D,has_pm,has_vrad,DiscoveryRefs,ID,DiscoveryYear
st,True,Svol-I21,Svol,ibata2021,Ibata2021,-,34.657212885726395,220.60684478720336,27.75396342677254,8.913185745574186,258.015858141993,21.449397858440687,6.259979746674568,240.0748921799983,26.625896171801802,7.079076468563893,25.490365585482156,58.679903073263425,1110,1,1,1,0,Ibata2019,87,2019
st,True,Ylgr-I21,Ylgr,ibata2021,Ibata2021,-,44.794165765671536,163.80344112403247,2.3655324350445497,8.642171077958878,181.73753060924992,-39.2395368450902,10.046529223141919,172.46134334301203,-18.343052435851217,9.48407305570027,255.56406601512776,19.908263531852196,1110,1,1,1,0,Ibata2019,95,2019
st,True,Gaia-6-I21,Gaia-6,ibata2021,Ibata2021,-,21.06403027586748,204.81399982630833,25.529743091426905,8.528975518794008,224.41516616865707,38.60048385962727,9.862637592311723,213.8823097809022,32.46515000318823,8.175831517637276,91.65028589020162,39.97373422239433,1110,1,1,1,0,Ibata2019,29,2019
st,True,Gaia-12-I21,Gaia-12,ibata2021,Ibata2021,-,13.747911942421462,36.048641865191954,20.338704019897424,13.299314549608246,46.7324755813227,11.200835065989763,10.865854434955194,41.55950372042709,15.889007764331007,11.369038676959388,149.2821371737924,46.92215855110873,1110,1,1,1,0,Ibata2019,24,2019
st,True,OmegaCen-I21,OmegaCen-Fimbulthul,ibata2021,Ibata2021,-,43.37243029282938,198.65255849886594,-52.90506927131801,5.104994335238893,213.22073229157348,-19.252219942306883,2.9291701435403215,195.79789049989236,-30.84616941026147,5.299424638235779,124.2415802421073,27.917444353584973,1110,1,1,1,0,"Ibata2019_OCen,Ibata2019",63,2019
st,True,Gaia-10-I21,Gaia-10,ibata2021,Ibata2021,-,17.24535149962341,150.73000953660173,15.999758732728994,17.381981250649556,168.47103078055486,14.055873748234054,12.085176937311449,159.62038747142114,15.00584753132814,13.742982087346746,317.98287459940724,73.91283211076899,1110,1,1,1,0,Ibata2019,22,2019
st,True,Jhelum-b-B19,Jhelum-b,bonaca2019,Bonaca2019,-,30.00218723025873,7.143180671436838,-51.3069031132556,12.999999999999972,322.0863558395788,-45.449063338074836,12.999999999999968,343.28459979351896,-50.500774103209885,13.000000000000002,178.56294907893343,-38.49089161440077,1010,1,0,1,0,Bonaca2019,41,2019
st,True,Leiptr-I21,Leiptr,ibata2021,Ibata2021,-,70.37005552701669,57.88629777859075,3.4421311041585336,8.902443635598441,115.75182651137945,-44.47076414287864,6.017408242735119,82.56817058673072,-22.156808916171897,7.074944576182247,152.1284643789292,40.613852773716275,1110,1,1,1,0,Ibata2019,44,2019
st,True,M68-P19,M68-Fjorm,palau2019,Palau2019,-,133.54876275002206,190.12041338399086,-47.32109546202406,8.267093786483217,273.48942253688114,66.52056055901159,4.737115038142804,190.38948289567293,-26.886415195354253,5.6889951872347275,104.09922243003295,17.013235243021413,1210,1,2,1,0,"Palau2019,Ibata2019",50,2019
st,True,M5-G19,M5,grillmair2019,Grillmair2019,-,41.39441125701819,226.7977645592585,3.7730889743646077,15.908977616713974,188.0714244656105,21.008786407303656,12.316328118780326,229.73903244975716,2.274494419603746,16.181884344130523,143.6808626714995,-62.46711375723886,1010,1,0,1,0,Grillmair2019,49,2019
