source_id,ra,dec,pmra,pmdec,bp_rp,phot_g_mean_mag,l,b,parallax,parallax_over_error,phi1,phi2,pmphi1,pmphi2,probability
6513727923439474304,340.0967115347034,-50.98319910402293,6.703407,-5.190856,0.86232,16.964872,340.055216,-55.633161,0.405859,5.882951,11.84776,0.6602,-5.664396,0.017556,3.74E-4
6513729843288317568,340.2144969716993,-50.86361596961462,6.165884,-4.719572,0.587152,19.023768,340.167543,-55.75888,0.221423,1.075083,11.806571,0.525603,-5.019728,-0.290418,0.976593
6513741559959126272,339.4550211820912,-50.83713871038787,6.582777,-5.643212,0.803745,18.429967,340.643674,-55.361252,0.152877,0.970874,12.276483,0.624686,-5.690639,0.417697,1.06E-4
6513751562939527040,339.75912066616615,-50.59951085463165,6.807015,-5.70909,0.577406,19.191971,340.832705,-55.647741,0.436982,1.968021,12.153191,0.344799,-5.910635,0.451263,1.0E-6
6513756506444306432,340.923666916138,-51.08803540771854,6.894507,-5.569833,0.847145,18.275316,339.406025,-56.018438,-0.068673,-0.445388,11.318048,0.631047,-5.912427,0.424399,1.0E-6
6513756506444309632,340.9108612109256,-51.07773666679001,6.706927,-5.753942,0.643811,20.124038,339.429302,-56.01721,-0.594847,-1.07283,11.328379,0.623042,-5.7764,0.647494,1.4E-5
6513756957417137792,340.85108021725756,-51.03726671030332,6.633386,-5.294355,0.887314,17.569314,339.526482,-56.007288,-0.025866,-0.272974,11.374768,0.593077,-5.594277,0.213483,0.001019
6513759328239090304,340.7091567306934,-51.03220953924509,6.502713,-5.146306,1.45325,12.702053,339.619494,-55.934613,0.057328,4.086768,11.462493,0.610282,-5.436428,0.087987,0.027281
6513787120971481856,340.5814160920406,-50.572103896440666,6.799209,-6.022185,0.631891,19.758663,340.39475,-56.109237,-0.0073,-0.020821,11.655442,0.184856,-5.94594,0.843205,0.0
6513800796147402368,341.1307089174403,-50.48765204833895,6.90986,-5.311962,0.902915,16.402695,340.192293,-56.450442,-0.045362,-0.716901,11.337893,0.016882,-5.853966,0.184912,4.0E-6
6511063527590551936,336.67212161610394,-50.141965185277144,6.635461,-5.732771,0.670401,20.016893,343.160135,-54.132996,0.763052,1.838338,14.171273,0.458635,-5.877579,0.190631,2.0E-6
6511069785359880064,336.53539740895593,-49.961274867631204,6.48298,-5.974794,0.754436,18.564227,343.503004,-54.133513,0.067246,0.453585,14.309443,0.312806,-5.810142,0.451114,6.0E-6
6511073354476317568,336.94499065111506,-49.883889056463914,6.197376,-5.820615,0.630664,19.363339,343.423682,-54.404406,-0.078414,-0.302862,14.081043,0.159955,-5.473669,0.430535,0.015292
6513830105004533248,340.00367036452144,-50.594785751943014,6.068274,-4.876673,0.575147,19.206807,340.699292,-55.783652,-0.443258,-1.938968,12.004493,0.299976,-4.971838,-0.136697,0.990077
6513837221766059008,340.1507803561087,-50.507272748577456,5.862675,-5.034373,1.044069,15.225488,340.747661,-55.908784,0.039844,1.376988,11.936629,0.191394,-4.808042,0.081053,0.999693
6513846357160854016,339.7633869679216,-50.49952667845763,6.483999,-5.352636,0.639204,19.259108,340.983083,-55.700784,-0.107663,-0.411898,12.176661,0.247571,-5.505299,0.190661,0.006603
6513857386637094400,339.9132262802582,-50.18803453336876,6.574543,-5.346792,0.687196,19.831272,341.375867,-55.940535,0.058712,0.127739,12.165281,-0.07807,-5.58437,0.172907,0.001314
6513865190593121664,340.2190536323948,-50.22722270393002,7.065124,-5.843885,0.985267,15.985619,341.138114,-56.089481,0.324024,7.213015,11.966052,-0.090491,-6.173685,0.560058,0.0
